id,company,department,job,base,work_begin,work_end,launch_time,dinner_time,wed,fri,workdays,summary,remark,category,suggestion,struct,welfare,is_foreign,domain
7,58同城,数据中心,数分,北京,10:00,19点,11:30-13:00,18:00,否,无,5,需要,,,,,,,互联网
8,Anacle System,商管部门,.net后端,新加坡/杭州,09:00,18:00,12:00-13:30,下班,否,否,5,月底工时,外企养老局，.net传统框架，钱少,,,,,,互联网
9,哔哩哔哩,人工智能技术部,算法,上海,10-1030,8-8:30,12月14日,18-19,否,一般走得早，7点30左右,五天,周报,总体氛围比较奇怪，同事关系比较淡，没有pua,,,,,,互联网
10,哔哩哔哩,主站商业中心,产品运营,上海,10月11日,实习生7点可以走,,,否,否,5,不写,,,,,,,互联网
11,OPPO,数智工程,后端,深圳,8:00-9:30,正常6:00-7:30可以走，大家基本9点多也就走的差不多了,12月14日,18:00,看小组活动,到了下班点基本都溜了,5,写周报,氛围不错，工作强度还可以，看组内忙不忙，大家基本都是9点左右走，偶尔会更晚,,,,,,互联网
12,OPPO,智能互联,安卓系统工程师,南京,9.00-9.30,20.30-22.00,12月14日,18.00后,下午运动日偶尔可以划水,否,5月6日,要,,,,,,,互联网
13,PayPal,aiml,软件开发,上海,9：00—10：00,6：00—7：00,12：00—14：00浮动,下班吃饭,wlb,wlb,5,晨会,wlb,,,,,,互联网
14,PingCAP,数据库内核研发,后端,北京,10,大多数9,12月13日,18-19,否,晚饭后,5（oncall除外）,是,工作时间弹性，但是oncall比较重,,,,,,互联网
15,VMware,研发中心,云计算,北京,10:00,18:00,12:00-1:00,无,否,否,5,无,wfh，外地有租房补贴,,,,,,互联网
16,安谋科技（arm中国）,,软件工程师,深圳/上海,09:30,06:30,2h,无,否,否,5,周报,,,,,,,互联网
17,哔哩哔哩,视频云技术部-直播组,后端,上海,12:30之前到公司即可,取决于早上来的时间 需要满8h， 早上10点来 7点就可以走,12：00-14：00,18：00 - 19：00,否,周五下午开完会大伙就进入摸鱼模式了,5,要,直播基建方向不做业务 事情不多 但是可能对技术增长没啥很大的帮助,,,,,,互联网
18,哔哩哔哩,主站技术中心,后端,上海,10:00-11:00,7:00-8:00,12:00,06:00,否,否,5,需要周报,,,,,,,互联网
19,FreeWheel,Data,后端,北京,09:30,6:30-7:00,12：00-14:00,回家,没有,夏天下午三点下班,5,周报,舒服,,,,,,互联网
20,Garena,FF,游戏客户端开发,上海,9-10.30,6-7.30弹性，够9h就可以走,12:00-14:00,基本上快6点就可以吃饭了,否,否,5,每天早上会有早会,基本不加班，在研项目有的加班比较多,,,,,,互联网
21,italic,portal,后端开发,上海,7:30（如果要和美国开会）/10:00（正常情况下）,5:00-6:30（并不固定，做完任务就下班）,不固定，公司无午饭，团建午饭一般11:30-14:00,不包晚餐，团建晚餐一般budget在人均180元左右，特殊情况有500元每人的budget,,,5,不需要，需要跟进sprint就行,可以选择在家办公，每月团建费用充足，继续招开发与devops，内推请简历发到jerrold@italic.com,,,,,,互联网
22,JLL,战略顾问,分析师,深圳,09:30,18:00,12:00-14:00,无,下午茶,无,5,,,,,,,,互联网
23,MicroFocus,UFTM,软件开发,上海,10:00,18:00,11:30-13:00,,,,5,否,周末从不加班/14天年假/四大保险/内推联系 18221508921,,,,,,互联网
24,OPPO,,运营,深圳,9：00-9：30,6：30可以吃饭 8点之前基本都溜,2h,,是,无,,写,小累，按时下班的人会被认为工作不饱和，加工作,,,,,,互联网
25,PWNSKY,pwn部门,安全研究,北京,09:00,18:00,12:00-14:00,,,否,,,部门气氛好，自由轻松，目前主要研究一些自动化扫描器，还有增强afl fuzz工具，研究最近爆的cve，还有挖挖0day,,,,,,互联网
26,PWNSKY,sky部门,全栈,北京,09:30,18:00,12:00-14:00,无,否,否,7,日报,公司待遇不错，入职薪资高，7天工作。,,,,,,互联网
27,PWNSKY,sky部门,unity游戏前端,北京,09:30,18:00,12:00-14:00,,,否,,,轻松自由，公司里有高配游戏电脑设备，累了玩两把游戏。,,,,,,互联网
28,RSS3,运营,中英文运营,世界各地,11点,随意,随意,随意,否,否,5,是,我们公司招人，区块链Web3公司，开发（主要是前端）和英文运营都招人，有想法联系TG：MortyQKL,,,,,,互联网
29,shein,,开发,深圳,,20:00,11:50-13:30,18:00往后,否,17:00,5,要,能行,,,,,,互联网
30,shopee,seller,产品,深圳,10.15,07:00,12:30,7.加班餐,否,否,5,正式工第一个月需要,很chill（真的吗我质疑，最近虾皮这么卷）,,,,,,互联网
31,versa,算法部,算法,上海,10,21（至少三天晚9点）,12月14日,随时吃饭,否,可以提前下班,5,周报,,,,,,,互联网
32,爱立信,cces,软件开发,上海,09:30,06:00,2h,下班就跑，回家吃饭,,,5,否,养老,,,,,,互联网
33,爱奇艺,广告,后端,北京,10点前到,8点左右，可以早走，可以晚走,12-14点,6月7日,否,否，通常早点走,5,周报必须，日报看情况,公司要求打卡9小时，十点之前必须到，weekday加班的话有加班工资,,,,,,互联网
34,爱奇艺,随刻事业部,运营,北京,9.3,6点半,12.00-1.30,,否,否,5,否,推送运营，分早晚班，每天需要有人值班，但可以调休，一周还是工作5天,,,,,,互联网
35,爱奇艺,用户产品部,运营,北京,10:20左右,20:00左右,,,,,,,,,,,,,互联网
